Empresa;snapshot;mes;ano;bacia_hidrografica;latitude;longitude;recolha_agua;indice_seca;precipitation;soil_moisture_225;processo_representativo;pre_tratamento;origem;Line;ID Processo;Estrutura;Fibra;Corante;Cor;Máquina;R:B;Banho;Banho simplif.;banho_representativo;pH;Condutividade;Alcalinidade;Dureza;Cor_p;Turbidez;Sólidos suspensos totais;Carência química de oxigénio;Carência bioquímica de oxigénio;Carbono orgânico total;Azoto total;Azoto amoniacal;Nitratos;Nitritos;Fósforo total;Alumínio;Chumbo;Cobre;Crómio total;Ferro;Manganês;Magnésio;Zinco;Cálcio;Cloretos;Sulfatos;Sulfitos;Sulfuretos;Hidrocarbonetos totais;Óleos e gorduras;Detergentes aniónicos
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Ensaboamento 1;Ensaboamento 1;Ensaboamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Lav. PE 1;Lav. PE 1;Ensaboamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Lav. PE 2;Lav. PE 2;Ensaboamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P2;Fio;Algodão;Reativos;Média;Autoclave;;Amaciamento;Amaciamento;Amaciamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P3;Fio;Algodão;Reativos;Escura;Autoclave;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P3;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P3;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P3;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P4;Felpo;Algodão;;1/2 Branco;Jet;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P4;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P4;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P4;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P5;Felpo;Algodão;Reativos;Branco ótico;Jet;;Branqueio;Preparação;Branqueamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P5;Felpo;Algodão;Reativos;Branco ótico;Jet;;Lav. PP 1;Lav. PP 1;Preparação;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P5;Felpo;Algodão;Reativos;Branco ótico;Jet;;Lav. PP 2;Lav. PP 2;Preparação;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P5;Felpo;Algodão;Reativos;Branco ótico;Jet;;Lav. PP 3;Lav. PP 3;Preparação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P5;Felpo;Algodão;Reativos;Branco ótico;Jet;;Amaciamento;Amaciamento;Amaciamento;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;1/2 branco 1;Preparação;Branqueamento;11.5;5000.0;3300.0;244.0;372.0;119.0;50.6;5600.0;2290.0;1866.6666666666667;128.0;19.2;3.75;1.55;4.1;0.713;0.01;0.102;0.0062;0.598;0.2;35.9;0.139;38.7;180.0;116.0;3.0;0.05;1.34;101.0;31.0
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Lav. PP 1;Lav. PP 1;Preparação;6.8;2200.0;1700.0;152.0;467.0;57.0;556.0;2760.0;1330.0;920.0;42.7;7.8;0.27;0.0985;6.9;0.387;0.01;0.0324;0.0025;0.344;0.133;23.2;0.0645;22.5;110.0;54.3;3.0;0.05;4.34;99.4;6.33
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Tingimento 1;Tingimento 1;Tingimento;10.8;51000.0;42000.0;60.7;198.0;37.0;43.2;451.0;36.9;150.33333333333334;14.5;21.3;18.9;0.109;1.7;0.1;0.01;0.002;0.002;0.0651;0.00605;7.86;0.003;11.3;16000.0;89.8;15.0;0.05;0.1;10.3;1.01
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Lav. PT 1;Lav. PT 1;Tingimento;9.2;9500.0;2700.0;14.1;70.1;6.3;26.2;660.0;498.0;220.0;3.7;6.0;0.27;0.005;0.12;0.06;0.01;0.002;0.002;0.0398;0.0112;2.12;0.0048;2.17;2490.0;27.4;2.0;0.05;0.1;8.8;1.54
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Ensaboamento 1;Ensaboamento 1;Ensaboamento;9.0;4300.0;1100.0;18.2;126.0;29.0;17.5;647.0;290.0;215.66666666666666;12.5;6.0;0.47;13.8;1.6;0.328;0.01;0.0037;0.002;0.162;0.0452;1.85;0.0494;4.2;1180.0;26.1;15.0;0.05;0.1;11.6;5.34
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Lav. PE 1;Lav. PE 1;Ensaboamento;7.9;936.0;240.0;3.2;53.7;5.8;18.0;110.0;39.2;36.666666666666664;4.6;6.0;0.27;6.54;0.55;0.059;0.01;0.002;0.002;0.0516;0.0094;0.325;0.0084;0.722;209.0;22.0;1.0;0.05;0.1;6.86;1.41
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P6;Felpo;Algodão;Reativos;Média;Jet;6.0;Amaciamento;Amaciamento;Amaciamento;5.2;878.0;205.0;9.5;19.8;2.5;5.0;477.0;134.0;159.0;6.1;6.0;8.4;6.31;0.5;0.012;0.01;0.002;0.002;0.0106;0.0188;0.695;0.0057;2.62;188.0;21.1;2.0;0.05;0.1;18.2;0.144
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Preparação;Preparação;Preparação;5.8;369.0;673.0;258.0;403.0;254.0;142.0;9350.0;4420.0;3116.6666666666665;99.9;95.0;2.0;0.3;10.2;0.407;0.01;0.138;0.0035;0.398;0.18;48.4;0.342;23.6;608.0;120.0;10.0;0.05;12.7;855.0;5.73
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Lav. PP 1;Lav. PP 1;Preparação;5.7;1470.0;327.0;79.0;503.0;80.0;31.7;4120.0;1720.0;1373.3333333333333;43.3;396.0;2.0;0.15;3.9;0.088;0.01;0.0431;0.002;0.0431;0.0588;14.6;0.116;7.53;226.0;51.0;5.0;0.05;6.88;297.0;4.62
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Tingimento 1;Tingimento 1;Tingimento;10.4;90100.0;3270.0;90.0;453.0;38.9;186.0;5280.0;;1760.0;94.2;30.4;83.0;136.0;1.8;0.2;0.2;0.04;0.04;0.1;0.0182;8.91;0.06;21.3;419.0;2130.0;200.0;0.05;3.77;41.6;1.08
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Lav. PT 1;Lav. PT 1;Tingimento;10.5;63200.0;3370.0;68.6;890.0;21.6;220.0;1650.0;390.0;550.0;53.3;19.3;87.6;33.2;3.1;0.1;0.1;0.02;0.02;0.0843;0.0179;8.29;0.03;13.8;5300.0;1600.0;100.0;0.05;8.88;85.5;1.0
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Lav. PT 2;Lav. PT 2;Tingimento;7.8;37800.0;1730.0;135.0;453.0;53.4;188.0;1380.0;898.0;460.0;20.7;8.9;33.2;5.43;0.1;0.1;0.1;0.02;0.02;0.113;0.0494;22.2;0.03;17.3;2300.0;316.0;10.0;0.05;5.19;57.6;0.954
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Ensaboamento 1;Ensaboamento 1;Ensaboamento;7.2;21400.0;1060.0;86.0;490.0;45.4;34.2;928.0;522.0;309.3333333333333;21.4;12.8;9.68;7.25;14.4;0.1;0.1;0.02;0.02;0.0987;0.068;14.4;0.0402;10.6;653.0;53.0;50.0;0.05;2.05;31.0;1.3
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Lav. PE 1;Lav. PE 1;Ensaboamento;7.1;11900.0;673.0;48.8;684.0;32.8;97.2;933.0;388.0;311.0;11.8;9.3;5.89;0.6;7.6;0.1;0.1;0.02;0.02;0.164;0.0704;7.73;0.0381;6.81;203.0;113.0;20.0;0.05;4.23;67.5;1.0
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Lav. PE 2;Lav. PE 2;Ensaboamento;7.2;6250.0;289.0;22.2;490.0;29.7;78.8;844.0;188.0;281.3333333333333;12.1;9.5;4.17;1.5;2.3;0.066;0.01;0.002;0.0029;0.122;0.0431;3.21;0.0202;3.61;258.0;79.4;50.0;0.05;7.34;83.9;0.995
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P7;Felpo;Algodão;Reativos;Escura;Jet;6.0;Amaciamento;Amaciamento;Amaciamento;6.8;448.0;111.0;3.0;336.0;31.7;14.0;616.0;135.0;205.33333333333334;1.5;6.0;2.0;0.04;0.62;0.01;0.01;0.002;0.002;0.0193;0.00157;0.18;0.003;0.2;41.8;15.5;2.0;0.05;0.18;26.1;0.104
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P8;Felpo;Algodão;;Desencolagem frio;Jet;6.0;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P8;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P8;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P8;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT01 - NEIPER;;;;;;;;;;;;;Giatex;descontinuo;P9;Felpo;Algodão;;Desencolagem enzimática;Jet;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P9;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P9;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Giatex;descontinuo;P9;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;1/2 branco 1;Preparação;Branqueamento;11.1;4210.0;1370.0;179.0;780.0;170.66;470.0;290.0;1580.0;96.66666666666667;96.6;80.1;32.2;8.64;3.2;1.1;0.5;0.259;0.5;0.5;0.173;24.6;0.05;31.2;64.3;108.0;1.0;0.05;2.53;115.0;1.14
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Lav. PP 1;Lav. PP 1;Preparação;11.2;2130.0;619.0;76.1;231.0;48.11;153.0;300.0;423.0;100.0;35.2;22.9;17.0;1.99;3.1;0.747;0.5;0.0798;0.5;0.5;0.0692;11.0;0.05;12.2;121.0;48.9;1.0;0.05;1.8;41.9;0.501
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Lav. PP 2;Lav. PP 2;Preparação;6.7;1090.0;224.0;117.0;53.0;13.2;167.0;890.0;128.0;296.6666666666667;7.9;6.0;2.0;0.15;5.4;0.231;0.5;0.0168;0.5;0.5;0.0677;21.7;0.05;11.1;114.0;33.2;1.0;0.05;5.1;48.0;0.037
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Anti-pilling 1;Preparação;Preparação;5.9;666.0;138.0;114.0;86.0;5.79;28.5;200.0;81.0;66.66666666666667;7.7;6.0;2.0;0.06;4.8;0.153;0.5;0.0204;0.5;0.5;0.1;20.2;0.05;12.4;107.0;27.2;2.0;0.05;2.31;21.4;0.163
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Anti-pilling 2;Preparação;Preparação;6.4;333.0;52.4;54.4;30.6;2.95;26.5;203.0;83.0;67.66666666666667;1.6;6.0;2.0;0.265;0.42;0.023;0.5;0.002;0.5;0.5;0.0257;9.02;0.05;6.94;78.5;26.4;2.0;0.05;0.78;12.8;0.02
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Tingimento 1;Tingimento 1;Tingimento;10.6;24200.0;3260.0;119.0;38.1;19.75;66.0;220.0;91.0;73.33333333333333;6.1;6.0;2.0;1.5;2.1;0.34;0.5;0.0402;0.5;0.5;0.0193;12.7;0.05;26.6;121.0;43.6;1.0;0.05;1.02;15.0;0.497
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Ensaboamento 1;Ensaboamento 1;Ensaboamento;10.3;7980.0;452.0;57.6;101.0;12.01;33.5;830.0;17.4;276.6666666666667;1.8;6.0;2.0;0.6;1.3;0.092;0.5;0.0232;0.5;0.5;0.0073;7.73;0.05;10.3;64.3;29.1;3.0;0.05;7.15;54.0;0.415
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Ensaboamento 2;Ensaboamento 2;Ensaboamento;6.9;2430.0;262.0;51.5;555.0;5.61;26.5;400.0;103.0;133.33333333333334;1.4;6.0;2.0;0.3;1.0;0.08;0.5;0.0077;0.5;0.5;0.0685;9.35;0.05;5.24;50.0;26.6;2.0;0.05;1.65;16.7;0.101
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Ensaboamento 3;Ensaboamento 3;Ensaboamento;6.8;1050.0;129.0;49.0;91.0;5.38;25.5;440.0;100.0;146.66666666666666;29.8;19.1;2.0;0.15;2.2;0.074;0.5;0.0117;0.5;0.5;0.0904;8.18;0.05;6.13;100.0;32.2;2.0;0.05;0.84;10.4;0.539
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Lav. PE 1;Lav. PE 1;Ensaboamento;7.0;580.0;91.0;39.0;86.0;5.01;27.0;430.0;4.2;143.33333333333334;8.2;6.0;2.0;1.31;0.45;0.033;0.5;0.0048;0.5;0.5;0.0351;6.57;0.05;4.86;78.5;29.8;10.0;0.05;0.38;4.02;0.031
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P1;Malha;Algodão;Reativos;Clara;Jet;9.0;Lav. PE 2;Lav. PE 2;Ensaboamento;6.4;432.0;57.1;43.9;15.6;1.7;9.8;460.0;1.0;153.33333333333334;3.2;6.0;5.12;0.354;0.2;0.022;0.5;0.002;0.5;0.5;0.0204;7.52;0.05;5.22;42.8;30.5;10.0;0.05;0.18;1.49;0.02
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;1/2 branco 1;Preparação;Branqueamento;11.2;510.0;129.0;112.0;181.0;82.52;258.0;382.9;77.0;127.63333333333333;100.0;82.0;35.0;5.99;3.4;1.87;0.5;0.0844;0.5;0.5;0.103;14.4;0.07;21.0;38.1;118.0;1.0;0.05;4.3;52.6;1.78
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Lav. PP 1;Lav. PP 1;Preparação;11.0;231.0;643.0;72.9;30.8;38.25;147.0;994.0;320.0;331.3333333333333;38.1;30.3;20.3;1.64;1.7;1.1;0.5;0.0303;0.5;0.5;0.0654;10.6;0.05;11.8;47.6;62.8;1.0;0.05;1.46;32.6;0.0601
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Lav. PP 2;Lav. PP 2;Preparação;6.6;1410.0;1260.0;152.0;285.0;32.23;75.0;962.0;340.0;320.6666666666667;16.9;7.2;6.0;0.15;9.5;1.43;0.5;0.0129;0.5;0.5;0.114;28.4;0.06;14.2;16.7;34.3;5.0;2.3;8.52;66.1;0.622
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Anti-pilling 1;Preparação;Preparação;4.7;964.0;200.0;186.0;138.0;12.66;62.0;35.0;5.1;11.7;9.3;6.0;6.0;0.15;5.1;0.397;0.5;0.0099;0.5;0.5;0.218;30.0;0.11;25.2;40.5;31.5;5.0;0.05;2.71;18.3;0.256
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Anti-pilling 2;Preparação;Preparação;5.2;559.0;67.3;86.0;185.0;12.34;104.0;327.7;121.0;109.23333333333333;5.6;6.0;6.0;0.06;2.5;0.125;0.5;0.0023;0.5;0.5;0.0786;13.6;0.05;12.1;38.1;5.0;10.0;1.6;1.02;9.71;0.05
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Tingimento 1;Tingimento 1;Tingimento;10.8;12700.0;1210.0;61.0;40.6;19.32;126.0;286.3;99.0;95.43333333333334;6.5;6.0;6.0;5.85;1.2;0.268;0.5;0.782;0.5;0.5;0.0355;7.63;0.05;11.8;4760.0;59.1;7.5;0.05;5.93;44.5;0.393
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Ensaboamento 1;Ensaboamento 1;Ensaboamento;9.8;2340.0;181.0;48.5;9.6;4.67;23.5;359.8;87.0;119.93333333333334;3.2;6.0;9.69;0.3;3.0;0.042;0.5;0.111;0.5;0.5;0.0162;6.97;0.05;7.9;242.0;27.9;1.0;0.05;0.66;6.12;0.071
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Ensaboamento 2;Ensaboamento 2;Ensaboamento;6.2;4640.0;343.0;65.6;28.1;12.28;43.5;614.1;131.0;204.70000000000002;3.7;6.0;6.0;0.3;1.0;0.304;0.5;0.26;0.5;0.5;0.0585;10.6;0.05;8.76;1400.0;32.2;4.0;0.05;1.52;14.4;0.079
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Ensaboamento 3;Ensaboamento 3;Ensaboamento;6.6;1950.0;162.0;53.7;20.6;11.69;37.0;488.6;80.0;162.86666666666667;31.6;23.2;6.0;0.15;1.1;0.226;0.5;0.124;0.5;0.5;0.0571;8.66;0.05;7.19;267.0;5.0;10.0;0.28;1.78;14.9;1.48
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P2;Malha;Algodão;Reativos;Média;Jet;9.0;Lav. PE 1;Lav. PE 1;Ensaboamento;7.1;767.0;95.0;42.2;63.0;5.69;50.0;35.0;3.0;11.7;7.5;6.0;6.0;0.06;0.43;0.057;0.5;0.0374;0.5;0.5;0.0331;6.35;1.31;6.38;171.0;25.7;1.0;0.05;0.18;5.08;0.422
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;1/2 branco 1;Preparação;Branqueamento;10.0;3730.0;1320.0;193.0;477.0;80.0;41.6;5030.0;1560.0;1676.6666666666667;99.5;19.5;29.9;5.97;10.8;2.6;0.01;0.111;0.0504;0.396;0.166;32.5;0.11;23.5;146.0;122.0;2300.0;0.05;0.6;28.2;1.62
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;1/2 branco 2;Preparação;Branqueamento;9.8;1750.0;1270.0;88.0;184.0;31.0;31.8;1570.0;646.0;523.3333333333334;46.2;6.0;18.0;1.59;3.2;1.31;0.01;0.0414;0.021;0.234;0.0812;15.1;0.0441;10.2;90.1;169.0;3700.0;0.05;0.22;10.8;0.212
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;Lav. PP 1;Lav. PP 1;Preparação;7.0;1300.0;896.0;213.0;647.0;23.0;137.0;922.0;368.0;307.3333333333333;25.1;23.8;1.32;0.0656;18.6;1.79;0.01;0.028;0.016;0.341;0.296;40.6;0.157;18.3;89.5;39.5;3300.0;0.05;3.08;28.1;0.378
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;Anti-pilling 1;Preparação;Preparação;5.0;768.0;1460.0;160.0;585.0;140.0;352.0;1920.0;915.0;640.0;14.2;6.0;8.05;3.17;9.7;0.522;0.01;0.026;0.0097;0.199;0.107;28.3;0.0472;17.5;65.6;41.8;2550.0;0.05;0.34;9.25;0.248
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;Anti-pilling 2;Preparação;Preparação;5.1;541.0;518.0;80.0;445.0;34.0;52.2;494.0;285.0;164.66666666666666;7.2;6.0;0.27;0.005;5.0;0.159;0.01;0.0088;0.0033;0.0666;0.0519;13.8;0.0185;9.13;51.8;24.4;2800.0;0.05;0.2;5.07;0.043
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;Tingimento 1;Tingimento 1;Tingimento;11.3;96800.0;7070.0;117.0;30900.0;19.0;174.0;2770.0;154.0;923.3333333333334;88.4;6.0;13.2;0.656;6.9;0.06;0.01;0.202;0.0021;0.151;0.0312;6.36;0.0033;36.4;40000.0;2420.0;2500.0;0.05;0.18;2.82;3.01
GT02 - TINTEX;;;;;;;;;;;;;Giatex;descontinuo;P3;Malha;Algodão;Reativos;Escura;Jet;9.0;Tingimento 2;Tingimento 2;Tingimento;11.0;18500.0;3680.0;79.0;15500.0;29.0;479.0;1930.0;46.2;643.3333333333334;223.0;6.0;13.2;0.656;5.6;0.084;0.01;0.131;0.002;0.111;0.0311;7.21;0.007;19.6;19100.0;1120.0;1250.0;0.05;0.18;3.45;1.65
